2026/02/17 15:26:14.525, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 113.55 W, 73, P2
2026/02/17 15:26:15.541, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.99 W, 57, P2
2026/02/17 15:26:15.543, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.83 W, 69, P2
2026/02/17 15:26:16.545, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 76.02 W, 60, P2
2026/02/17 15:26:16.565, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 106.29 W, 71, P2
2026/02/17 15:26:17.567, 0, NVIDIA GeForce GTX 1060, 95 %, 67 %, 4871 MiB, 75.67 W, 61, P2
2026/02/17 15:26:17.582, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 71 %, 4799 MiB, 112.24 W, 72, P2
2026/02/17 15:26:18.588, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.21 W, 62, P2
2026/02/17 15:26:18.599, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 118.90 W, 72, P2
2026/02/17 15:26:19.602, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 75.86 W, 63, P2
2026/02/17 15:26:19.610, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 121.32 W, 73, P2
2026/02/17 15:26:20.620, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 75.08 W, 63, P2
2026/02/17 15:26:20.622, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 71 %, 4799 MiB, 117.75 W, 73, P2
2026/02/17 15:26:21.625, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 74.90 W, 64, P2
2026/02/17 15:26:21.641, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 113.41 W, 73, P2
2026/02/17 15:26:22.648, 0, NVIDIA GeForce GTX 1060, 95 %, 64 %, 4871 MiB, 72.82 W, 64, P2
2026/02/17 15:26:22.656, 1, NVIDIA GeForce GTX 1060 6GB, 66 %, 52 %, 4799 MiB, 37.06 W, 71, P2
2026/02/17 15:26:23.658, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 73.83 W, 65, P2
2026/02/17 15:26:23.671, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.40 W, 69, P2
2026/02/17 15:26:24.673, 0, NVIDIA GeForce GTX 1060, 95 %, 64 %, 4871 MiB, 72.75 W, 65, P2
2026/02/17 15:26:24.683, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.30 W, 68, P2
2026/02/17 15:26:25.685, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.35 W, 66, P2
